Statistic,Value
Mean,0.007809788427718165
Median,0.005014028751105664
2.5% CI,0.00037395379284547634
97.5% CI,0.03125640313549134
Constrained Model Mean,0.007648796421872553
R Sobol Index,7.017928320418236
S Sobol Index,8.364592216271765
D Sobol Index,23.705799225783718
V Sobol Index,37.74070028633463
A Sobol Index,14.452223105600496
R Sobol Lower,1.0458429997953609
S Sobol Lower,2.008285388502026
D Sobol Lower,16.064874513401467
V Sobol Lower,27.203031925290706
A Sobol Lower,7.53482919666454
R Sobol Upper,13.803236717427408
S Sobol Upper,15.804629300870197
D Sobol Upper,31.94536996361054
V Sobol Upper,48.35655286006915
A Sobol Upper,22.218955020870762
